code|barcode_df|description_df|ncm_df|cest_df|cfop_df|icms_cst_df|icms_aliquota_df|icms_aliquota_reduzida_df|protege_df|cbenef_df|piscofins_cst_df|pis_aliquota_df|cofins_aliquota_df|naturezareceita_df|sequencial_df|estado_origem_df|estado_destino_df|sequencial_items_df|barcode_items_df|description_items_df|ncm_items_df|cest_items_df|cfop_items_df|icms_cst_items_df|icms_aliquota_items_df|icms_aliquota_reduzida_items_df|protege_items_df|cbenef_items_df|piscofins_cst_items_df|pis_aliquota_items_df|cofins_aliquota_items_df|naturezareceita_id|status_item|estado_origem_items_df|estado_destino_items_df|sync_at|await_sync_at|sync_validate_at|naturezareceita_items_df|divergent_columns_df
500385|7622300861261|REFRESCO TANG MARACUJA 25G|21069010||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7622300861261|REFRESCO TANG MARACUJA 25G|21069010||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500386|7896004814162|HASTE FLEXIVEL TOPZ 75UN|56012190|2005100|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7896004814162|HASTE FLEXIVEL TOPZ 75UN|56012190|2005100|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500389|7896102501872|MOLHO QUERO TOMATE TRADICIOANAL SC 300G|21032010|1704100|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7896102501872|MOLHO QUERO TOMATE TRADICIOANAL SC 300G|21032010|1704100|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500390|7895800309780|CHICLE TRIDENT NE MELANCIA 8.5G|21069050||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7895800309780|CHICLE TRIDENT NE MELANCIA 8.5G|21069050||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500391|7892840813451|PEPSI ZERO PET 2L|22021000|0301000|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7892840813451|PEPSI ZERO PET 2L|22021000|0301000|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500392|7892840812874|H20H LIMONETO PET 1.5L|22021000|0301001|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7892840812874|H20H LIMONETO PET 1.5L|22021000|0301001|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500395|7898080640635|LEITE UHT DESNATADO C/TAMPA 1L ITALAC|04011010|1701600|5102|0|12|12|0||06|0.0|0.0|0|0|||0|7898080640635|LEITE UHT DESNATADO C/TAMPA 1L ITALAC|04011010|1701600|5102|0|12|12|0||06|0.0|0.0|6.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||110|naturezareceita
500396|7622210564313|CHICLE TRIDENT HERBAL FRESH 8G|21069050||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7622210564313|CHICLE TRIDENT HERBAL FRESH 8G|21069050||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500397|7891962036083|BISCOITO RECHEADO CHOCOLATE VISCONTI 125G|19053100|1705300|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7891962036083|BISCOITO RECHEADO CHOCOLATE VISCONTI 125G|19053100|1705300|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500399|7898215151722|LEITE DESNATADO PIRACANJUBA 1L EDGE|04011010|1701600|5102|0|12|12|0||06|0.0|0.0|0|0|||0|7898215151722|LEITE DESNATADO PIRACANJUBA 1L EDGE|04011010|1701600|5102|0|12|12|0||06|0.0|0.0|6.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||110|naturezareceita
500401|7896098900277|DETERGENTE LIQ YPE CLEAR CARE 500ML|34025000|1100500|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7896098900277|DETERGENTE LIQ YPE CLEAR CARE 500ML|34025000|1100500|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500403|7622300861957|REFRESCO TANG MANGA 25G|21069010||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7622300861957|REFRESCO TANG MANGA 25G|21069010||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500404|7898409957970|FERMENTO PO BIOL INST FLEISCHMAN 10G|21021090||5102|20|12|12|0||01|0.0|0.0|0|0|||0|7898409957970|FERMENTO PO BIOL INST FLEISCHMAN 10G|21021090||5102|20|19|12|0|GO821022|01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|icms_aliquota, cbenef, pis_aliquota, cofins_aliquota
500405|7896212900060|MAC SEMOLA CALIFORNIA PARAFUSO 500G|19021900|1704903|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7896212900060|MAC SEMOLA CALIFORNIA PARAFUSO 500G|19021900|1704903|5102|20|12|7|0|GO821019|06|0.0|0.0|16.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||119|icms_aliquota, cbenef, naturezareceita
500406|7898195130014|REFRESCO CLIK LARANJA 100GR|21069010||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7898195130014|REFRESCO CLIK LARANJA 100GR|21069010||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500408|7898909066639|MOLHO TOMATE GOIALLI TRAD SACHE 340G|21032010|1704100|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7898909066639|MOLHO TOMATE GOIALLI TRAD SACHE 340G|21032010|1704100|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500409|7898040081966|ITA STEAK CONG IND 100GR|16023290|1707900|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7898040081966|ITA STEAK CONG IND 100GR|16023290|1707900|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500410|7891080400087|MARGARINA DELICIA C/SAL 500G|15171000|1702600|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7891080400087|MARGARINA DELICIA C/SAL 500G|15171000|1702600|5102|20|12|7|0|GO821019|06|0.0|0.0|24.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||127|icms_aliquota, cbenef, naturezareceita
