code|await_sync_at|barcode|cbenef|cest|cfop|cofins_aliquota|description|divergent_columns|estado_destino|estado_origem|icms_aliquota|icms_aliquota_reduzida|icms_cst|naturezareceita|naturezareceita_id|ncm|pis_aliquota|piscofins_cst|protege|sequencial|status_item|sync_at|sync_validate_at
500391|2024-10-28 18:04:58.498525+00:00|7892840813451||0301000|5405|0.0|PEPSI ZERO PET 2L|naturezareceita|||0|0|60|0|30.0|22021000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500392|2024-10-28 18:04:58.498525+00:00|7892840812874||0301001|5405|0.0|H20H LIMONETO PET 1.5L|naturezareceita|||0|0|60|0|30.0|22021000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500395|2024-10-28 18:04:58.498525+00:00|7898080640635||1701600|5102|0.0|LEITE UHT DESNATADO C/TAMPA 1L ITALAC|naturezareceita|||12|12|0|0|6.0|04011010|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500396|2024-10-28 18:04:58.498525+00:00|7622210564313|||5102|0.0|CHICLE TRIDENT HERBAL FRESH 8G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069050|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500397|2024-10-28 18:04:58.498525+00:00|7891962036083||1705300|5102|0.0|BISCOITO RECHEADO CHOCOLATE VISCONTI 125G|pis_aliquota, cofins_aliquota|||19|19|0|0||19053100|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500399|2024-10-28 18:04:58.498525+00:00|7898215151722||1701600|5102|0.0|LEITE DESNATADO PIRACANJUBA 1L EDGE|naturezareceita|||12|12|0|0|6.0|04011010|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500401|2024-10-28 18:04:58.498525+00:00|7896098900277||1100500|5102|0.0|DETERGENTE LIQ YPE CLEAR CARE 500ML|pis_aliquota, cofins_aliquota|||19|19|0|0||34025000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500403|2024-10-28 18:04:58.498525+00:00|7622300861957|||5102|0.0|REFRESCO TANG MANGA 25G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500404|2024-10-28 18:04:58.498525+00:00|7898409957970|||5102|0.0|FERMENTO PO BIOL INST FLEISCHMAN 10G|icms_aliquota, cbenef, pis_aliquota, cofins_aliquota|||12|12|20|0||21021090|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500405|2024-10-28 18:04:58.498525+00:00|7896212900060||1704903|5102|0.0|MAC SEMOLA CALIFORNIA PARAFUSO 500G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|16.0|19021900|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
